year,rank,title,film,singers
1986,17,Ghunghta Khol Na,Suhagan,Kishore Kumar; Asha Bhosle
1986,18,Hum To Tambu Mein Bambu Lagaye Baithe,Mard,Asha Bhosle; Mohammed Aziz
1986,19,Dil Mein Aag Lagaye Sawan Ka Mahina,Alag Alag,Kishore Kumar
1986,20,Wah Wah Kya Rang Hai,Singhasan,Kishore Kumar; Asha Bhosle
1986,21,Jis Din Se Juda Woh Hum Se Hue,Aafreen,Pankaj Udhas
1986,22,Maika Piya Bulave,Sur Sangam,Lata Mangeshkar; Suresh Wadkar
1986,23,Mahi Ve Na Jaiyo Pardes,Karma,Kavita Krishnamurthy
1986,24,Pyar Hamara Amar Rahega,Muddat,Asha Bhosle; Mohammed Aziz
1986,25,Ek Ladki Jiska Naam Mohabbat,Aag Aur Shola,Kavita Krishnamurthy; Mohammed Aziz
1986,26,Chalta Hai Do Dilon Ka Kaise Sansaar,Singhasan,Kishore Kumar; P. Susheela
1986,27,Bhala Hai Bura Hai Jaisa Bhi Hai,Naseeb Apna Apna,Anuradha Paudwal
1986,28,Mohabbat Khuda Hai,Love And God,Mohammed Rafi
1986,29,Kis Pe Jaan Dijiye,Aafreen,Pankaj Udhas
1986,30,Ujiyara Bhor Ka,Kariye Kshama,Hemlata
1986,31,Ho Dil Se Dil Ki Pappi,Geraftaar,Asha Bhosle; Mohammed Aziz
1986,32,Tu Kal Chala Jayega To Main Kya Karunga,Naam,Manhar Udhas; Mohammed Aziz
1986,33,Oye Kya Cheez Hai Tu,Jaal,Shabbir Kumar
1986,34,Mujhe Kehte Hain Romeo,Muddat,Kishore Kumar
